resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time_x,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,time_y,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,full_name
22133,900,4,6,14,5,4,4,4,12.0,57,+35.284,5613994,57,7,1:33.186,204.867,1,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22135,900,807,10,27,7,6,6,6,8.0,57,+50.718,5629428,56,2,1:32.568,206.235,1,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22148,900,1,131,44,1,\N,R,19,0.0,2,\N,\N,2,20,1:49.947,173.636,5,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22152,901,1,131,44,1,1,1,1,25.0,56,1:40:25.974,6025974,53,1,1:43.066,193.611,1,2014,2,2,Malaysian Grand Prix,2014-03-30,08:00:00,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22155,901,4,6,14,4,4,4,4,12.0,56,+35.992,6061966,47,3,1:44.165,191.569,1,2014,2,2,Malaysian Grand Prix,2014-03-30,08:00:00,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22156,901,807,10,27,7,5,5,5,10.0,56,+47.199,6073173,38,10,1:45.982,188.284,1,2014,2,2,Malaysian Grand Prix,2014-03-30,08:00:00,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22174,902,1,131,44,2,1,1,1,25.0,57,1:39:42.743,5982743,49,2,1:37.108,200.634,1,2014,3,3,Bahrain Grand Prix,2014-04-06,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22178,902,807,10,27,11,5,5,5,10.0,57,+28.654,6011397,37,3,1:38.785,197.228,1,2014,3,3,Bahrain Grand Prix,2014-04-06,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22182,902,4,6,14,9,9,9,9,2.0,57,+32.595,6015338,53,12,1:39.732,195.355,1,2014,3,3,Bahrain Grand Prix,2014-04-06,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22196,903,1,131,44,1,1,1,1,25.0,54,1:33:28.338,5608338,42,2,1:41.196,193.916,1,2014,4,17,Chinese Grand Prix,2014-04-20,07:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22198,903,4,6,14,5,3,3,3,15.0,54,+23.604,5631942,48,4,1:42.081,192.235,1,2014,4,17,Chinese Grand Prix,2014-04-20,07:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22201,903,807,10,27,8,6,6,6,8.0,54,+54.295,5662633,33,10,1:42.624,191.218,1,2014,4,17,Chinese Grand Prix,2014-04-20,07:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22218,904,1,131,44,1,1,1,1,25.0,66,1:41:05.155,6065155,54,3,1:29.483,187.275,1,2014,5,4,Spanish Grand Prix,2014-05-11,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22223,904,4,6,14,7,6,6,6,8.0,66,+1:27.743,6152898,55,4,1:29.898,186.411,1,2014,5,4,Spanish Grand Prix,2014-05-11,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22227,904,807,10,27,10,10,10,10,1.0,65,\N,\N,42,16,1:31.411,183.325,11,2014,5,4,Spanish Grand Prix,2014-05-11,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22241,905,1,131,44,2,2,2,2,18.0,78,+9.210,6576871,34,3,1:19.361,151.510,1,2014,6,6,Monaco Grand Prix,2014-05-25,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22243,905,4,6,14,5,4,4,4,12.0,78,+32.452,6600113,54,5,1:19.727,150.814,1,2014,6,6,Monaco Grand Prix,2014-05-25,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22244,905,807,10,27,11,5,5,5,10.0,77,\N,\N,38,9,1:20.767,148.872,11,2014,6,6,Monaco Grand Prix,2014-05-25,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22266,906,807,10,27,11,5,5,5,10.0,70,+12.843,5965673,64,8,1:18.936,198.890,1,2014,7,7,Canadian Grand Prix,2014-06-08,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22267,906,4,6,14,7,6,6,6,8.0,70,+14.869,5967699,64,3,1:18.614,199.704,1,2014,7,7,Canadian Grand Prix,2014-06-08,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22278,906,1,131,44,2,\N,R,17,0.0,46,\N,\N,24,9,1:18.942,198.875,23,2014,7,7,Canadian Grand Prix,2014-06-08,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22285,907,1,131,44,9,2,2,2,18.0,71,+1.932,5276908,41,2,1:12.217,215.650,1,2014,8,70,Austrian Grand Prix,2014-06-22,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22288,907,4,6,14,4,5,5,5,10.0,71,+18.553,5293529,58,5,1:12.595,214.527,1,2014,8,70,Austrian Grand Prix,2014-06-22,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22292,907,807,10,27,10,9,9,9,2.0,71,+44.137,5319113,60,11,1:13.156,212.882,1,2014,8,70,Austrian Grand Prix,2014-06-22,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22306,908,1,131,44,6,1,1,1,25.0,52,2:26:52.094,8812094,26,1,1:37.176,218.239,1,2014,9,9,British Grand Prix,2014-07-06,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22311,908,4,6,14,16,6,6,6,8.0,52,+59.946,8872040,52,8,1:38.587,215.115,1,2014,9,9,British Grand Prix,2014-07-06,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22313,908,807,10,27,4,8,8,8,4.0,52,+1:28.692,8900786,52,9,1:38.625,215.032,1,2014,9,9,British Grand Prix,2014-07-06,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22330,909,1,131,44,20,3,3,3,15.0,67,+22.530,5645444,53,1,1:19.908,206.066,1,2014,10,10,German Grand Prix,2014-07-20,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22332,909,4,6,14,7,5,5,5,10.0,67,+52.467,5675381,57,3,1:20.548,204.429,1,2014,10,10,German Grand Prix,2014-07-20,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22334,909,807,10,27,9,7,7,7,6.0,67,+1:04.178,5687092,44,13,1:22.098,200.570,1,2014,10,10,German Grand Prix,2014-07-20,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22351,910,4,6,14,5,2,2,2,18.0,70,+5.225,6790283,40,5,1:27.419,180.413,1,2014,11,11,Hungarian Grand Prix,2014-07-27,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22352,910,1,131,44,22,3,3,3,15.0,70,+5.857,6790915,36,4,1:27.380,180.494,1,2014,11,11,Hungarian Grand Prix,2014-07-27,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Lewis Hamilton
22369,910,807,10,27,9,\N,R,20,0.0,16,\N,\N,14,20,1:41.151,155.921,3,2014,11,11,Hungarian Grand Prix,2014-07-27,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
22379,911,4,6,14,4,7,7,7,6.0,44,+1:01.162,5137718,29,11,1:53.879,221.413,1,2014,12,13,Belgian Grand Prix,2014-08-24,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Fernando Alonso
22382,911,807,10,27,18,10,10,10,1.0,44,+1:05.697,5142253,40,9,1:53.612,221.934,1,2014,12,13,Belgian Grand Prix,2014-08-24,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Nico Hülkenberg
